Station_name,Station_address,Type_oil,Price,City,Full_address,Coords,LAT,LNG
Inversiones Heredia y Cia. Ltda,Av. Gabriela Mistral 1255,Bencina 93,1228,Los Ángeles,"Av. Gabriela Mistral 1255, Los Ángeles, Chile","(-37.47342, -72.32917)",-37.47342,-72.32917
Inversiones Heredia y Cia. Ltda,Av. Gabriela Mistral 1255,Bencina 95,1255,Los Ángeles,"Av. Gabriela Mistral 1255, Los Ángeles, Chile","(-37.47342, -72.32917)",-37.47342,-72.32917
Inversiones Heredia y Cia. Ltda,Av. Gabriela Mistral 1255,Bencina 97,1279,Los Ángeles,"Av. Gabriela Mistral 1255, Los Ángeles, Chile","(-37.47342, -72.32917)",-37.47342,-72.32917
Inversiones Heredia y Cia. Ltda,Av. Gabriela Mistral 1255,Diesel,1039,Los Ángeles,"Av. Gabriela Mistral 1255, Los Ángeles, Chile","(-37.47342, -72.32917)",-37.47342,-72.32917
Inversiones Isaran SPA,"Ruta Q 180, Km. 10.2 0",Bencina 93,1222,Los Ángeles,"Ruta Q 180, Km. 10.2 0, Los Ángeles, Chile","(-37.50587, -72.49245)",-37.50587,-72.49245
Inversiones Isaran SPA,"Ruta Q 180, Km. 10.2 0",Bencina 95,1248,Los Ángeles,"Ruta Q 180, Km. 10.2 0, Los Ángeles, Chile","(-37.50587, -72.49245)",-37.50587,-72.49245
Inversiones Isaran SPA,"Ruta Q 180, Km. 10.2 0",Bencina 97,1272,Los Ángeles,"Ruta Q 180, Km. 10.2 0, Los Ángeles, Chile","(-37.50587, -72.49245)",-37.50587,-72.49245
Inversiones Isaran SPA,"Ruta Q 180, Km. 10.2 0",Diesel,1037,Los Ángeles,"Ruta Q 180, Km. 10.2 0, Los Ángeles, Chile","(-37.50587, -72.49245)",-37.50587,-72.49245
Comercial Cardemil Limitada,Avenida Las Industrias 6250,Bencina 93,1221,Los Ángeles,"Avenida Las Industrias 6250, Los Ángeles, Chile","(-37.45624, -72.3266)",-37.45624,-72.3266
Comercial Cardemil Limitada,Avenida Las Industrias 6250,Bencina 95,1247,Los Ángeles,"Avenida Las Industrias 6250, Los Ángeles, Chile","(-37.45624, -72.3266)",-37.45624,-72.3266
Comercial Cardemil Limitada,Avenida Las Industrias 6250,Bencina 97,1272,Los Ángeles,"Avenida Las Industrias 6250, Los Ángeles, Chile","(-37.45624, -72.3266)",-37.45624,-72.3266
Comercial Cardemil Limitada,Avenida Las Industrias 6250,Diesel,1032,Los Ángeles,"Avenida Las Industrias 6250, Los Ángeles, Chile","(-37.45624, -72.3266)",-37.45624,-72.3266
Inversiones Enex S.A.,Ruta 5 sur km 493,Bencina 93,1214,Los Ángeles,"Ruta 5 sur km 493, Los Ángeles, Chile","(-37.47991, -72.35666)",-37.47991,-72.35666
Inversiones Enex S.A.,Ruta 5 sur km 494,Bencina 95,1254,Los Ángeles,"Ruta 5 sur km 493, Los Ángeles, Chile","(-37.47991, -72.35666)",-37.47991,-72.35666
Inversiones Enex S.A.,Ruta 5 sur km 495,Bencina 97,1305,Los Ángeles,"Ruta 5 sur km 493, Los Ángeles, Chile","(-37.47991, -72.35666)",-37.47991,-72.35666
Inversiones Enex S.A.,Ruta 5 sur km 496,Diesel,1022,Los Ángeles,"Ruta 5 sur km 493, Los Ángeles, Chile","(-37.47991, -72.35666)",-37.47991,-72.35666
